nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
multiqueue_t2;8;1000000;55.6039;145.188;458624;18.1011;15.433
multiqueue_t2;8;1000000;59.0674;143.705;458612;18.163;15.6022
multiqueue_t2;8;1000000;55.974;144.752;458064;18.0734;15.447
multiqueue_t2;8;1000000;52.9868;139.778;459149;18.1427;15.5083
multiqueue_t2;8;1000000;54.8587;139.028;458598;18.1479;15.5661
multiqueue_t4;1;1000000;111.596;221.333;335555;4.08106;3.90725
multiqueue_t4;1;1000000;114.819;253.462;335957;4.07561;3.87037
multiqueue_t4;1;1000000;120.246;248.408;335534;4.08694;3.92015
multiqueue_t4;1;1000000;111.838;220.993;336041;4.08087;3.90879
multiqueue_t4;1;1000000;115.084;227.161;336401;4.01768;3.81291
multiqueue_t4;8;1000000;44.2707;138.195;479134;36.7936;31.1269
multiqueue_t4;8;1000000;41.338;133.777;479507;36.7899;30.8773
multiqueue_t4;8;1000000;42.68;134.275;479237;36.6738;30.8245
multiqueue_t4;8;1000000;45.7094;141.922;479285;36.9763;31.0683
multiqueue_t4;8;1000000;41.1994;145.759;478906;36.8679;31.0373
multiqueue_t2;1;5000000;861.894;2000.01;937416;1.49759;1.93501
multiqueue_t2;1;5000000;867.889;1757.77;937061;1.49919;1.94059
multiqueue_t2;1;5000000;876.071;1913.69;938699;1.50294;1.93767
multiqueue_t2;1;5000000;861.376;1752.24;937553;1.49779;1.93481
multiqueue_t2;1;5000000;858.93;1811.53;937442;1.50191;1.9412
multiqueue_t2;8;5000000;299.277;760.205;2291231;18.1095;15.4714
multiqueue_t2;8;5000000;314.371;811.656;2291277;18.1485;15.5135
multiqueue_t2;8;5000000;309.337;769.797;2291363;18.126;15.4781
