nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
priority_queue;1;10000;0.52818;1.26384;0;0;0
priority_queue;1;10000;0.674672;1.80924;0;0;0
priority_queue;1;10000;0.476132;1.38448;0;0;0
priority_queue;1;10000;0.73547;1.7332;0;0;0
priority_queue;1;10000;0.5514;1.60056;0;0;0
priority_queue;1;100000;4.85169;16.506;0;0;0
priority_queue;1;100000;4.19937;17.2616;0;0;0
priority_queue;1;100000;4.73551;18.127;0;0;0
priority_queue;1;100000;3.7111;16.756;0;0;0
priority_queue;1;100000;4.51422;17.0916;0;0;0
priority_queue;1;1000000;32.7057;172.991;0;0;0
priority_queue;1;1000000;33.1548;174.044;0;0;0
priority_queue;1;1000000;33.9892;175.782;0;0;0
priority_queue;1;1000000;33.0067;171.698;0;0;0
priority_queue;1;1000000;32.7469;177.174;0;0;0
priority_queue;1;5000000;163.564;1219.14;0;0;0
priority_queue;1;5000000;159.864;1222;0;0;0
priority_queue;1;5000000;162.213;1210.26;0;0;0
priority_queue;1;5000000;159.307;1233.99;0;0;0
priority_queue;1;5000000;156.68;1221.22;0;0;0
