nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
multiqueue_t4;8;1000000;44.7829;144.196;479286;36.9426;31.294
multiqueue_t4;8;1000000;44.1929;140.125;478947;36.7538;30.9946
multiqueue_t4;8;1000000;48.3683;144.015;479327;36.7142;30.8371
multiqueue_t4;8;1000000;45.3938;137.091;479524;36.6245;30.7905
multiqueue_t2;1;5000000;897.082;1751.28;937217;1.49448;1.93173
multiqueue_t2;1;5000000;884.351;1713.93;937247;1.49574;1.93437
multiqueue_t2;1;5000000;884.46;1707.77;937053;1.49887;1.93896
multiqueue_t2;1;5000000;868.705;1797.8;937110;1.50288;1.94294
multiqueue_t2;1;5000000;862.862;1745.03;937230;1.4953;1.93039
multiqueue_t2;8;5000000;328.421;773.475;2291541;18.1656;15.528
multiqueue_t2;8;5000000;332.888;767.896;2292915;18.1374;15.4889
multiqueue_t2;8;5000000;328.738;770.157;2291504;18.1471;15.5214
multiqueue_t2;8;5000000;326.986;770.849;2291333;18.0581;15.4299
multiqueue_t2;8;5000000;333.483;771.403;2292326;18.1653;15.5628
multiqueue_t4;1;5000000;626.989;1485.35;1679060;4.05299;3.87707
multiqueue_t4;1;5000000;638.836;1370.37;1680669;4.05711;3.87858
multiqueue_t4;1;5000000;633.9;1382.58;1679940;4.05199;3.86085
multiqueue_t4;1;5000000;631.404;1341.31;1679555;4.06335;3.88597
multiqueue_t4;1;5000000;631.592;1495.91;1679263;4.05371;3.87401
multiqueue_t4;8;5000000;248.507;772.935;2396127;36.7924;31.0086
multiqueue_t4;8;5000000;260.244;914.866;2396411;36.7742;30.9445
multiqueue_t4;8;5000000;260.608;790.097;2396609;36.7778;30.9908
multiqueue_t4;8;5000000;254.861;775.535;2395959;36.7461;30.9376
multiqueue_t4;8;5000000;292.879;815.055;2395951;36.7527;30.9837
skiplist;1;10000;2.19169;3.79868;3704;2.4914;2.33887
skiplist;1;10000;2.27361;3.70387;3737;2.5684;2.39677
skiplist;1;10000;1.73081;3.24817;3776;2.551;2.35419
skiplist;1;10000;1.88929;3.23047;3771;2.5352;2.38913
skiplist;1;10000;1.94269;3.98626;3744;2.534;2.37963
skiplist;8;10000;1.97391;4.43546;4792;23.2236;21.5304
skiplist;8;10000;1.7969;4.12622;4854;23.314;22.1942
skiplist;8;10000;1.70104;2.98488;4840;22.924;21.5183
skiplist;8;10000;1.76606;3.05197;4810;23.142;21.0957
skiplist;8;10000;1.84889;3.97747;4872;23.0762;21.3442
skiplist;1;100000;17.1447;36.2045;37562;2.5245;2.34839
skiplist;1;100000;16.5254;36.2024;37513;2.52728;2.36264
skiplist;1;100000;17.4595;36.8734;37471;2.53294;2.34913
skiplist;1;100000;17.2441;38.2544;37593;2.53516;2.36837
skiplist;1;100000;18.1513;37.2458;37478;2.53086;2.37584
skiplist;8;100000;15.4213;34.3888;48484;23.1631;21.3647
skiplist;8;100000;16.9413;47.3903;48367;23.1678;21.4235
skiplist;8;100000;17.6208;45.4182;48415;23.1681;21.2812
skiplist;8;100000;16.7562;35.4426;48318;23.0626;21.3412
skiplist;8;100000;17.1945;35.5031;48366;23.1656;21.3391
skiplist;1;1000000;410.435;401.468;375366;2.53157;2.36803
skiplist;1;1000000;343.29;405.276;374850;2.53247;2.36381
skiplist;1;1000000;358.873;479.4;374912;2.53187;2.36679
skiplist;1;1000000;357.698;479.125;374616;2.53314;2.36814
skiplist;1;1000000;360.152;480.949;374918;2.53284;2.3641
skiplist;8;1000000;369.361;383.422;484238;23.1915;21.3546
