nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
multiqueue_n32c2;1;1000000;103.191;180.55;336499;4.08005;3.88466
multiqueue_n32c2;1;1000000;103.352;182.387;335862;4.05791;3.8851
multiqueue_n32c2;1;5000000;517.516;1005.82;1679578;4.05422;3.86678
multiqueue_n32c2;1;5000000;520.532;1009.03;1679294;4.05526;3.87454
multiqueue_n32c2;1;5000000;517.087;1006.52;1680216;4.06837;3.88856
multiqueue_n32c2;1;5000000;517.193;1073.27;1680563;4.06069;3.88042
multiqueue_n32c2;1;5000000;520.289;1039.4;1679810;4.05867;3.87048multiqueue_n32c2;8;10000;1.18956;0.725393;4763;38.6426;32.8275
multiqueue_n32c2;8;10000;1.23279;0.761408;4782;36.8954;31.0884
multiqueue_n32c2;8;10000;2.15072;3.00269;4793;34.7485;27.8126
multiqueue_n32c2;8;10000;1.19658;0.768523;4767;35.6196;29.7918
multiqueue_n32c2;8;10000;2.10177;1.35729;4802;35.2668;30.4689
multiqueue_n32c2;8;100000;5.47831;7.14758;47971;37.0689;31.0996
multiqueue_n32c2;8;100000;6.12506;6.98633;47972;36.7289;30.7343
multiqueue_n32c2;8;100000;5.60376;7.26176;47927;37.0844;31.1553
multiqueue_n32c2;8;100000;5.55393;6.91063;47904;37.0294;31.2288
multiqueue_n32c2;8;100000;5.52907;7.11537;47931;36.2941;30.0944
multiqueue_n32c2;8;1000000;41.4961;73.614;479315;36.6168;30.7918
multiqueue_n32c2;8;1000000;40.3379;73.7816;479626;36.8559;31.0944
multiqueue_n32c2;8;1000000;40.2454;74.2273;478789;36.8411;30.9647
multiqueue_n32c2;8;1000000;40.1306;72.9185;479387;37.048;31.2947
multiqueue_n32c2;8;1000000;40.712;75.6414;479276;36.7093;30.8098
multiqueue_n32c2;8;5000000;201.014;418.384;2395521;36.7089;30.9312
multiqueue_n32c2;8;5000000;200.553;411.894;2395756;36.7341;30.9155
multiqueue_n32c2;8;5000000;202.536;413.903;2395042;36.6889;30.877
multiqueue_n32c2;8;5000000;207.288;420.575;2394874;36.7795;30.9897
multiqueue_n32c2;8;5000000;201.264;428.001;2395504;36.7139;30.9696
