nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
multiqueue_n32c2;8;10000;0.900315;2.71601;4800;38.1321;33.0854
multiqueue_n32c2;8;10000;0.830128;3.02217;4771;37.1588;32.6362
multiqueue_n32c2;8;10000;1.02068;2.70668;4751;35.474;29.9784
multiqueue_n32c2;8;10000;1.58631;3.37534;4809;38.0072;31.2905
multiqueue_n32c2;8;10000;2.54756;4.40381;4777;36.6037;30.3518
multiqueue_n32c2;8;100000;5.69137;25.0215;47848;36.7811;31.1743
multiqueue_n32c2;8;100000;5.387;25.1803;47956;37.0852;31.1008
multiqueue_n32c2;8;100000;5.38763;24.9768;47875;37.1727;31.0481
multiqueue_n32c2;8;100000;6.08381;25.3522;48003;36.1577;30.0561
multiqueue_n32c2;8;100000;5.72236;24.7805;47836;37.0293;31.0489
multiqueue_n32c2;8;1000000;41.8138;251.486;479069;36.8432;31.1494
multiqueue_n32c2;8;1000000;42.2626;256.892;479178;36.8931;31.1792
multiqueue_n32c2;8;1000000;45.0293;250.754;479137;36.813;31.0234
multiqueue_n32c2;8;1000000;42.1788;250.675;479145;36.8315;30.9708
multiqueue_n32c2;8;1000000;42.0029;251.811;479851;36.8177;31.0238
multiqueue_n32c2;8;5000000;215.17;1380.91;2396480;36.814;31.0348
multiqueue_n32c2;8;5000000;215.138;1358.93;2395547;36.7713;30.951
multiqueue_n32c2;8;5000000;214.51;1351.35;2395232;36.7972;31.0184
multiqueue_n32c2;8;5000000;214.797;1354.81;2397283;36.798;31.021
multiqueue_n32c2;8;5000000;219.094;1365.49;2396669;36.7124;30.9264
